기준일,연번,위탁병원명,종별,병상수,진료과수,광역시도명,시군구명,상세주소,전화번호,위도,경도
2025-01-01,1,강릉동인병원,종합병원,383,21,강원특별자치도,강릉시,강릉대로419번길 42,033-651-6167,37.77443425,128.9071792
2025-01-01,2,강릉연세요양병원,요양병원,99,3,강원특별자치도,강릉시,옥가로 70,033-645-1400,37.76240066,128.9007898
2025-01-01,3,박정빈외과의원,의원,4,5,강원특별자치도,강릉시,경강로 2109 (임당동) 문선빌딩 3층,033-648-0080,37.75567058,128.8971787
2025-01-01,4,우리들내과의원,의원,0,4,강원특별자치도,강릉시,"경강로 2079, 2~5층",033-610-1500,37.75395207,128.894491
2025-01-01,5,위드내과의원,의원,0,5,강원특별자치도,강릉시,솔올로 35 (교동) 2층,033-641-9222,37.76515987,128.8778624
2025-01-01,6,이명호내과의원,의원,0,2,강원특별자치도,강릉시,솔올로5번길 40 (교동) 엘림빌딩2층,033-645-7747,37.76384381,128.8755201
2025-01-01,7,세브란의원,의원,0,8,강원특별자치도,고성군,거진읍 거진시장길 11,033-682-7755,38.4475241,128.454801
2025-01-01,8,고성제일의원,의원,0,13,강원특별자치도,고성군,간성읍 간성로 24,033-681-7582,38.37914476,128.4724323
2025-01-01,9,동해동인병원,종합병원,379,13,강원특별자치도,동해시,하평로 26,033-530-0114,37.53059098,129.1071328
2025-01-01,10,누가이비인후과의원,의원,3,1,강원특별자치도,동해시,"한섬로 111-7, 3층",033-535-3600,37.52224279,129.1152676
2025-01-01,11,동해제일내과의원,의원,0,6,강원특별자치도,동해시,청운1길 48 2층,033-522-6638,37.48594034,129.108508
2025-01-01,12,신세계의원,의원,0,11,강원특별자치도,동해시,"청운1길 64, 301호(나안동)",033-533-3652,37.48591528,129.1102151
2025-01-01,13,삼척의료원,종합병원,150,13,강원특별자치도,삼척시,오십천로 418 (남양동),033-572-1141,37.44032411,129.1633417
2025-01-01,14,신준호의원,의원,0,4,강원특별자치도,삼척시,남양동 55-63,033-575-0018,37.44147693,129.1643088
2025-01-01,15,아산퍼스트마취통증의학과의원,의원,0,6,강원특별자치도,삼척시,"진주로 19, 3층",033-572-7588,37.44252778,129.1637375
2025-01-01,16,속초의료원,종합병원,172,18,강원특별자치도,속초시,영랑호반길 3,033-630-6000,38.21604384,128.5879122
2025-01-01,17,속초정요양병원,요양병원,129,3,강원특별자치도,속초시,동해대로 4084,033-637-0757,38.18994368,128.5877247
2025-01-01,18,닥터음가정의학과의원,의원,0,5,강원특별자치도,속초시,동해대로 4163 (조양동) 닥터음가정의학과의원,033-633-3773,38.19092222,128.5793876
2025-01-01,19,양구성심병원,병원,47,5,강원특별자치도,양구군,양구읍 중심로 160,033-480-8800,38.1047008,127.9912111
2025-01-01,20,한사랑내과의원,의원,0,7,강원특별자치도,양구군,양구읍 사명길 123 한사랑내과의원,033-482-3566,38.10780001,127.9883487
2025-01-01,21,상명내과의원,의원,0,2,강원특별자치도,양양군,양양읍 양양로 62-1 2층 상명내과의원,033-672-8712,38.0755124,128.622219
2025-01-01,22,양양정형외과,의원,0,4,강원특별자치도,양양군,양양읍 양양로 9-1,033-672-6722,38.07848621,128.6271911
2025-01-01,23,영월의료원,종합병원,202,18,강원특별자치도,영월군,영월읍 중앙1로 59,033-370-9101,37.1864944,128.465702
2025-01-01,24,삼성수의원,의원,0,2,강원특별자치도,영월군,영월읍 중앙1로 15,033-375-2000,37.18252091,128.4655761
2025-01-01,25,성윤업내과의원,의원,0,22,강원특별자치도,영월군,영월읍 중앙1로 32 성윤업내과의원,033-374-0871,37.18393423,128.4659452
2025-01-01,26,바른요양병원,요양병원,238,4,강원특별자치도,원주시,판부면 치악로 1139,033-762-0100,37.29315326,127.9908856
2025-01-01,27,연세메디하임병원,병원,199,3,강원특별자치도,원주시,원문로 1419 (연세메디하임),033-740-8800,37.32618805,127.8450942
2025-01-01,28,현대중앙병원,병원,39,5,강원특별자치도,원주시,상지대길 23,033-747-1199,37.36937278,127.9388856
2025-01-01,29,손경수내과의원,의원,0,3,강원특별자치도,원주시,"남원로 665 선일빌딩 1층일부,2,3,4층",033-763-8252,37.34206679,127.9540647
2025-01-01,30,원주연세의원,의원,0,11,강원특별자치도,원주시,"흥업면 남원로 57, 2층",033-766-7881,37.30142624,127.919278
2025-01-01,31,탑정형외과의원,의원,16,14,강원특별자치도,원주시,"봉화로 31, 시재메디타워(단계동)",1599-7501,37.34734383,127.9283384
2025-01-01,32,홍&권이비인후과의원,의원,5,1,강원특별자치도,원주시,"중앙로 105, 2~3층",033-735-7707,37.34946359,127.9506516
2025-01-01,33,원주세브란스기독병원,상급종합,866,29,강원특별자치도,원주시,일산로 20,033-741-0114,37.34911951,127.9467238
2025-01-01,34,인제고려병원,병원,42,10,강원특별자치도,인제군,인제읍 비봉로15번길 4,033-461-0088,38.06790944,128.1734395
2025-01-01,35,한림의원,의원,0,4,강원특별자치도,인제군,북면 원통로 218 한림의원,033-462-4261,38.12424751,128.2073229
2025-01-01,36,근로복지공단 정선병원,병원,178,3,강원특별자치도,정선군,정선읍 봉양1길 145,033-560-7100,37.38324315,128.6603115
2025-01-01,37,사북제일의원,의원,0,3,강원특별자치도,정선군,사북읍 사북5길 1 제일의원,033-592-3412,37.22733545,128.8198894
2025-01-01,38,정선연세외과의원,의원,0,8,강원특별자치도,정선군,정선읍 봉양6길 14,033-563-7778,37.3788884,128.6639656
2025-01-01,39,철원병원,병원,93,14,강원특별자치도,철원군,갈말읍 명성로 208,033-452-5011,38.15005158,127.3076245
2025-01-01,40,강남아이원안과의원,의원,0,1,강원특별자치도,철원군,동송읍 금학로 199 3층 강남아이원안과,033-455-7501,38.20656362,127.2189647
2025-01-01,41,동송제일정형외과의원,의원,0,5,강원특별자치도,철원군,"동송읍 금학로 215, 2층",033-458-1188,38.20782744,127.2179807
2025-01-01,42,강원대학교병원,종합병원,608,26,강원특별자치도,춘천시,백령로 156 (효자동),033-258-2000,37.87577759,127.7450092
2025-01-01,43,춘천시노인전문병원,요양병원,165,6,강원특별자치도,춘천시,"춘천시 동면 세실로 252,(동면)",033-240-7500,37.8801805,127.756362
2025-01-01,44,인성병원,병원,141,7,강원특별자치도,춘천시,금강로 39,033-253-3030,37.88125149,127.7269039
2025-01-01,45,강남내과의원,의원,0,1,강원특별자치도,춘천시,"춘천로 68, 3~4층",033-242-8885,37.87029054,127.7249892
2025-01-01,46,마디온정형외과의원,의원,24,5,강원특별자치도,춘천시,안마산로 107 (퇴계동) 마디온정형외과의원,033-249-8575,37.8545554,127.7275247
2025-01-01,47,안정효내과의원,의원,0,3,강원특별자치도,춘천시,"퇴계로 188, 썬타워3층(석사동)",033-262-9889,37.857141,127.7393682
2025-01-01,48,연세플러스비뇨기과의원,의원,6,1,강원특별자치도,춘천시,금강로 69(4층),033-243-6400,37.87913049,127.7292648
2025-01-01,49,오케이정형외과의원,의원,26,7,강원특별자치도,춘천시,"김유정로 1874 1,3,4,5,6층",033-263-5335,37.85361112,127.7362783
2025-01-01,50,하나큐치과의원,의원,0,1,강원특별자치도,춘천시,"후석로 355, 2층(후평동)",033-256-1928,37.8825052,127.7477827
2025-01-01,51,근로복지공단 태백병원,종합병원,395,15,강원특별자치도,태백시,보드미길 8,033-580-3114,37.1042532,129.0034721
2025-01-01,52,김병호내과의원,의원,0,3,강원특별자치도,태백시,황지로 176-1 (황지동) 김병호내과의원,033-552-6997,37.17412459,128.9906923
2025-01-01,53,태백밝은안과의원,의원,0,1,강원특별자치도,태백시,황지로 169(황지동),033-554-0071,37.17342789,128.9910323
2025-01-01,54,평창군보건의료원,의원,20,14,강원특별자치도,평창군,평창읍 종부로 61,033-332-4000,37.36049006,128.3888504
2025-01-01,55,홍천아산병원,종합병원,145,8,강원특별자치도,홍천군,홍천읍 산림공원1길 17,033-430-5151,37.69110202,127.895427
2025-01-01,56,서울드림의원,의원,0,2,강원특별자치도,홍천군,홍천읍 신장대로 47-1,033-433-3354,37.6903682,127.881538
2025-01-01,57,서울정형외과의원(홍천),의원,0,1,강원특별자치도,홍천군,홍천읍 신장대리 64-1,033-432-0129,37.68873167,127.8850101
2025-01-01,58,윤성일정형외과의원,의원,0,5,강원특별자치도,홍천군,"홍천읍 홍천로 316, 4~5층",033-439-9999,37.68826753,127.880328
2025-01-01,59,화천군보건의료원,의원,21,7,강원특별자치도,화천군,화천읍 강변로 111,033-442-4424,38.10734467,127.7091238
2025-01-01,60,화천내과의원,의원,0,5,강원특별자치도,화천군,화천읍 중앙로 19-1 화천내과의원,033-442-8001,38.10426577,127.7064905
2025-01-01,61,횡성대성병원,병원,120,5,강원특별자치도,횡성군,횡성읍 횡성로 275,033-343-0901,37.4784106,127.9799329
2025-01-01,62,이재형봄빛내과,의원,0,7,강원특별자치도,횡성군,"횡성읍 한우로306, 3층",033-343-3636,37.48736833,127.9866929
2025-01-01,63,횡성정형외과의원,의원,0,5,강원특별자치도,횡성군,횡성읍 태기로19번길 14 태기로19번길14,033-343-5337,37.49169355,127.9864887
2025-01-01,64,HJ매그놀리아국제병원,병원,167,11,경기도,가평군,설악면 미사리로 267-177,031-589-4300,37.69113661,127.5213784
2025-01-01,65,가평성모의원,의원,0,12,경기도,가평군,가평읍 가화로 75,031-582-1833,37.82647377,127.5149306
2025-01-01,66,새희망마취통증의학과의원,의원,0,6,경기도,가평군,가평읍 가화로 113,031-581-7200,37.82973807,127.5133644
2025-01-01,67,인제대학교 일산백병원,종합병원,642,27,경기도,고양시,일산서구 주화로 170,031-910-7114,37.67426949,126.7503856
2025-01-01,68,서울척탑병원,병원,72,6,경기도,고양시,"권율대로 685, SBI타워 6~8층(원흥동)",031-813-9988,37.65119498,126.8740444
2025-01-01,69,연세송내과,의원,0,1,경기도,파주시,후곡로 3 현인메트로 2층,031-8070-1198,37.757252,126.774050
2025-01-01,70,이움내과의원,의원,0,6,경기도,고양시,"덕양구 백양로 51, 네이버타운 301호",031-979-0875,37.63030978,126.8332457
2025-01-01,71,일산미래내과의원,의원,0,5,경기도,고양시,"일산서구 일현로 97-11, 1층",1544-7517,37.69521421,126.7620084
2025-01-01,72,고양연세참비뇨의학과의원,의원,0,1,경기도,고양시,"일산동구 강석로 113, 2층",031-927-9276,37.65093072,126.7794241
2025-01-01,73,탑내과의원,의원,0,5,경기도,과천시,"별양로 12 (원문동, 래미안 슈르) 래미안슈르상가 B동 3층",02-502-8833,37.42304705,126.9935177
2025-01-01,74,광명성애병원,종합병원,268,24,경기도,광명시,디지털로 36 (철산동),02-2680-7114,37.47366531,126.8713285
2025-01-01,75,로하스광명요양병원,요양병원,217,12,경기도,광명시,"디지털로 25, 3~5층 창덕빌딩",02-2619-0075,37.47408707,126.8702029
2025-01-01,76,광명새움병원,병원,67,5,경기도,광명시,오리로 518 (소하동) 대교빌딩 4층 광명새움병원,1661-6888,37.44818601,126.882018
2025-01-01,77,삼성우리내과의원,의원,0,3,경기도,광명시,철산로 32 (철산동) 4층 삼성우리내과의원,02-2613-7588,37.47624571,126.8697973
2025-01-01,78,오이비인후과의원,의원,0,3,경기도,광명시,"오리로 374, 3층 인선빌딩",02-899-1119,37.43578356,126.8796938
2025-01-01,79,더플러스병원,병원,68,8,경기도,광주시,경안로 40,031-763-7582,37.4095171,127.2562071
2025-01-01,80,광주시원한비뇨의학과의원,의원,1,1,경기도,광주시,"광주대로 31, 지에이타워 8층 ",031-8027-9275,37.40936201,127.2602188
2025-01-01,81,광주제일내과의원,의원,0,9,경기도,광주시,중앙로 101,031-763-2601,37.4088191,127.2584167
2025-01-01,82,서울더센트럴치과,의원,0,11,경기도,광주시,"초월읍 경충대로 1087 2,3층",031-763-2080,37.37410317,127.2973388
2025-01-01,83,퇴촌중앙의원,의원,0,8,경기도,광주시,퇴촌면 광동로 73-8,031-766-6211,37.47082376,127.3108506
2025-01-01,84,굿병원,병원,93,8,경기도,구리시,검배로 46,031-564-4114,37.59728808,127.1439323
2025-01-01,85,구리백내과의원,의원,0,16,경기도,구리시,"검배로 42, 2층",031-557-6311,37.59749309,127.1436242
2025-01-01,86,서울비뇨기과의원(구리점),의원,1,1,경기도,구리시,건원대로3 흥화브라운오피스텔 4층,031-523-9000,37.60141807,127.1406461
2025-01-01,87,원광대학교 산본병원,종합병원,238,20,경기도,군포시,산본로 321,031-390-2300,37.35941187,126.9336016
2025-01-01,88,김성진내과의원,의원,0,1,경기도,군포시,고산로 693 (산본동) 하나로빌딩 3층 김성진내과,031-347-4800,37.37197668,126.9350385
2025-01-01,89,나래비뇨기과의원,의원,1,2,경기도,군포시,"금산로112, 2층",031-392-7582,37.37179895,126.9363168
2025-01-01,90,서울탑재활의학과의원,의원,0,4,경기도,군포시,"산본로 323번길 16-6, 신명타워 5층 5001호(산본동)",031-393-1000,37.35925663,126.9323733
2025-01-01,91,김포우리병원,종합병원,352,24,경기도,김포시,감암로 11,031-999-1231,37.63299862,126.7105623
2025-01-01,92,김포삼성굿비뇨기과의원,의원,3,1,경기도,김포시,"김포대로 847, 4층",031-8049-7675,37.61969944,126.7196498
2025-01-01,93,박원종내과의원,의원,0,6,경기도,김포시,통진읍 김포대로2230번길 21-3 박원종내과의원,031-996-3722,37.69070262,126.5986328
2025-01-01,94,손발척척정형외과의원,의원,14,2,경기도,김포시,"양도로 23, 오성프라자 6차 5층",031-986-2980,37.60673768,126.7250022
2025-01-01,95,퍼스트내과의원,의원,0,1,경기도,김포시,"김포한강4로 525, 감두리빌딩 4층",031-981-6051,37.64571557,126.6254262
2025-01-01,96,남양주백병원,병원,109,8,경기도,남양주시,진접읍 해밀예당1로 30-25,031-572-3111,37.71128093,127.1876287
2025-01-01,97,원병원,병원,151,11,경기도,남양주시,화도읍 경춘로 1943-16,031-590-3114,37.65192652,127.3043787
2025-01-01,98,다모아치과의원,의원,0,1,경기도,남양주시,"늘을2로 14번길 5, 샤르망메디칼프라자 401호",031-593-2879,37.65411833,127.2445648
2025-01-01,99,다산이엠365의원,의원,0,15,경기도,남양주시,"다산중앙로 82번길 78, 2~3층",031-566-0911,37.61982643,127.1632488
2025-01-01,100,안종훈내과의원,의원,0,4,경기도,남양주시,"화도읍 마석중앙로 78, 메디닥터 빌딩3,4층",031-593-7390,37.65190442,127.3082887
2025-01-01,101,청담비뇨기과의원,의원,0,5,경기도,남양주시,늘을2로 20 (호평동) 4층 청담비뇨기과,031-592-3698,37.65448476,127.2440965
2025-01-01,102,경기도립노인전문 남양주병원,요양병원,244,6,경기도,남양주시,수동면 외방로 172번길 50,031-590-5000,37.73840141,127.3093016
2025-01-01,103,이룸이비인후과의원,의원,0,11,경기도,남양주시,"진접읍 해밀예당1로 30, 센타프라자 6층",031-571-5075,37.71177743,127.1864551
2025-01-01,104,경기도립노인전문동두천병원,요양병원,197,4,경기도,동두천시,탑신로 536,031-860-4114,37.90083089,127.1360221
2025-01-01,105,동두천중앙성모병원,병원,172,15,경기도,동두천시,동광로 53,031-863-0550,37.90886892,127.0540161
2025-01-01,106,김이비인후과,의원,0,3,경기도,동두천시,"지행로 60, 6층",031-867-7575,37.89207278,127.0538215
2025-01-01,107,조은비뇨기과의원,의원,0,1,경기도,동두천시,"지행로 59, 401호",031-864-1711,37.89269413,127.0537794
2025-01-01,108,뉴대성병원,종합병원,252,13,경기도,부천시,부천로 91,032-610-1111,37.49255252,126.7841859
2025-01-01,109,메디홀스요양병원,요양병원,348,6,경기도,부천시,소사구 경인로 110번길 14,032-667-0100,37.48351274,126.7674172
2025-01-01,110,가톨릭정형외과의원,의원,12,12,경기도,부천시,"경인로 522, 4층(괴안동, 위드플러스타워)",032-223-8275,37.48456808,126.8133403
2025-01-01,111,대성안과의원,의원,0,1,경기도,부천시,부흥로 377,032-661-3100,37.49191399,126.7834273
2025-01-01,112,명비뇨기과의원,의원,0,2,경기도,부천시,"원미구 길주로 243, 302호 제일프라자",032-327-1351,37.50443021,126.7695733
2025-01-01,113,부천메디홀스의원,의원,0,3,경기도,부천시,소사구 송내동 385-5,032-656-4114,37.48324295,126.7674669
2025-01-01,114,성남중앙병원,종합병원,200,23,경기도,성남시,중원구 산성대로476번길 12,031-743-3000,37.45294155,127.1620002
2025-01-01,115,분당센트럴요양병원,요양병원,164,9,경기도,성남시,"분당구 양현로94번길 17, 지1층~5층",031-706-9090,37.39127335,127.1260392
2025-01-01,116,성모윌병원,병원,160,11,경기도,성남시,수정구 성남대로 1171 (수진동) 성모윌병원,1833-7512,37.43445138,127.128284
2025-01-01,117,(의)열린의료재단 분당열린의원,의원,0,1,경기도,성남시,"분당구 분당로53번길 22, 4층",031-708-9393,37.38426655,127.1228682
2025-01-01,118,리앤홍이비인후과,의원,7,4,경기도,성남시,"분당구 성남대로331번길7, 401호 402-1일부호(정자동,정자스타빌딩)",0507-1381-1093,37.36546111,127.1072026
2025-01-01,119,분당안과의원,의원,0,1,경기도,성남시,"분당구 성남대로 912, 분당BYC빌딩 407",031-703-6464,37.41096755,127.1292562
2025-01-01,120,분당연세비뇨의학과의원,의원,0,2,경기도,성남시,분당구 황새울로335번길 5 (서현동) 앤타운빌딩 803호,031-2706-8292,37.38605101,127.1216956
2025-01-01,121,서울엘리트치과의원,의원,0,9,경기도,성남시,분당구 돌마로 85 702호,031-701-7528,37.35039011,127.1113426
2025-01-01,122,수서울내과의원,의원,0,5,경기도,성남시,중원구 산성대로 380(5층),031-748-1112,37.44572133,127.1578199
2025-01-01,123,경기도립의료원 수원병원,종합병원,129,16,경기도,수원시,장안구 수성로245번길 69,031-888-0114,37.29185694,126.9963822
2025-01-01,124,동수원병원,종합병원,377,23,경기도,수원시,팔달구 중부대로 165 (우만동),031-210-0114,37.27816955,127.0343618
2025-01-01,125,다인병원,병원,91,16,경기도,수원시,장안구 창룡대로 159 (연무동) 다인병원,031-8014-1300,37.29191828,127.0275208
2025-01-01,126,연세내과,의원,2,3,경기도,수원시,"영통구 봉영로 1623(영통동, 드림피아 309호)",031-203-1245,37.25593714,127.074732
2025-01-01,127,오케이365정형외과의원,의원,0,6,경기도,수원시,"팔달구 매산로 11, 3층",031-548-1213,37.267446,127.0027265
2025-01-01,128,코코이비인후과의원,의원,0,5,경기도,수원시,"영통구 매영로 84 (매탄동, 한국아파트) 한국2차아파트 상가동 207호 코코이비인후과",031-212-7572,37.26819506,127.0500482
2025-01-01,129,한마음외과의원,의원,24,2,경기도,수원시,권선구 경수대로 321,031-235-7766,37.25555156,127.0211001
2025-01-01,130,센트럴병원,종합병원,249,18,경기도,시흥시,공단1대로 237,031-8041-3000,37.3368467,126.7279827
2025-01-01,131,(의)자운의료재단강남요양병원,요양병원,75,8,경기도,시흥시,"수인로3325번길 10 (신천동, 우명프라자) 우명프라자3층",031-311-0700,37.43826998,126.7882051
2025-01-01,132,센트럴요양병원,요양병원,150,5,경기도,시흥시,공단1대로 237 B동 3~8층,031-8041-3799,37.3368467,126.7279827
2025-01-01,133,김철수내과의원,의원,0,14,경기도,시흥시,"능곡번영길 30, 3층",031-503-0872,37.37021143,126.8066181
2025-01-01,134,드림내과의원,의원,0,3,경기도,시흥시,"역전로 292, 2층(정왕동)",031-431-7788,37.35210202,126.7398253
2025-01-01,135,한도병원,종합병원,254,19,경기도,안산시, 단원구 선부광장로 103,031-8040-1114,37.33405296,126.8076185
2025-01-01,136,(의)열린의료재단 안산열린의원,의원,0,1,경기도,안산시,"상록구 용신로 388, 5층",031-415-0072,37.30137727,126.8651071
2025-01-01,137,더베스트내과의원,의원,0,3,경기도,안산시,단원구 광덕대로 154 (고잔동) 로데오타운 A동 2층 더베스트내과,031-487-1119,37.31017091,126.8307376
2025-01-01,138,우리안신경외과의원,의원,0,7,경기도,안산시,"상록구 용신로 364(본오동, 203~204, 301~306호)",031-484-7777,37.3014768,126.8623309
2025-01-01,139,윤이비인후과의원,의원,0,1,경기도,안산시,단원구 예술대학로 9,031-401-4172,37.31782384,126.8365197
2025-01-01,140,경기도의료원 안성병원,종합병원,249,15,경기도,안성시,고수2로 17 (당왕동),031-8046-5000,37.01439815,127.2578096
2025-01-01,141,안성동인병원,병원,41,10,경기도,안성시,인지1길 9,031-677-0300,37.00524422,127.2667973
2025-01-01,142,안성제일정형외과의원,의원,0,6,경기도,안성시,중앙로 372번길 37-15 1층 안성제일정형외과의원,031-673-2119,37.00620892,127.2683387
2025-01-01,143,더편한장내과의원,의원,0,1,경기도,안성시,"아양1로 61, 폴리프라자1 3층",031-671-7575,37.0076222,127.2593585
2025-01-01,144,안양샘병원,종합병원,354,30,경기도,안양시,만안구 삼덕로 9,031-467-9114,37.39288814,126.9248162
2025-01-01,145,김형근예병원,병원,56,7,경기도,안양시,"동안구 관악대로 458 (관양동, 서진빌딩)",031-421-7575,37.40373519,126.973343
2025-01-01,146,권태우정형외과의원,의원,0,1,경기도,안양시,동안구 시민대로 187,031-388-2198,37.39178722,126.9517662
2025-01-01,147,안양더샘찬정형외과의원,의원,0,4,경기도,안양시,"만안구 병목안로2, PROJECT 240 TOWER 3층(안양동)",031-465-1358,37.3999437,126.9198928
2025-01-01,148,평촌연세365내과의원,의원,0,4,경기도,안양시,"동안구 평촌대로 217번길 27, 3~4층",031-385-3650,37.39033042,126.9541354
2025-01-01,149,평촌범계연세바로걷는의원,의원,6,4,경기도,안양시,"동안구 시민대로 206, 4,5층",031-387-7585,37.39172381,126.953766
2025-01-01,150,양주예쓰병원,병원,132,13,경기도,양주시,회정로 103,031-825-5000,37.83771986,127.0645583
2025-01-01,151,21세기내과의원,의원,0,3,경기도,양주시,고읍남로 6,031-847-8600,37.79564791,127.0801217
2025-01-01,152,두리이비인후과의원(양주),의원,0,5,경기도,양주시,옥정로 196 (옥정동) 파스텔시티 6층,031-868-8766,37.81897817,127.0921449
2025-01-01,153,아산재건정형외과,의원,19,3,경기도,양주시,"고읍남로 18, 3~7층",1899-7584,37.79496681,127.0794375
2025-01-01,154,양평병원,병원,115,8,경기도,양평군,양평읍 중앙로 129,031-770-5000,37.49394555,127.5034785
2025-01-01,155,동서신경외과의원,의원,0,9,경기도,양평군,양평읍 시민로36,031-773-6806,37.49006537,127.4957692
